Turn: R30    | Dial: 50 -> 80 | Zero passes: 0
Turn: R96    | Dial:  0 -> 96 | Zero passes: 3312
Turn: L88    | Dial: 96 ->  8 | Zero passes: 3312
Turn: R92    | Dial:  8 ->  0 | Zero passes: 3313  <== HIT 0!
Turn: R892   | Dial:  0 -> 92 | Zero passes: 3321
Turn: L30    | Dial: 92 -> 62 | Zero passes: 3321
Turn: R238   | Dial: 62 ->  0 | Zero passes: 3324  <== HIT 0!
Turn: R21    | Dial:  0 -> 21 | Zero passes: 3324
Turn: R579   | Dial: 21 ->  0 | Zero passes: 3330  <== HIT 0!
Turn: R52    | Dial:  0 -> 52 | Zero passes: 3330
Turn: L552   | Dial: 52 ->  0 | Zero passes: 3336  <== HIT 0!
Turn: L879   | Dial:  0 -> 21 | Zero passes: 3344
Turn: R79    | Dial: 21 ->  0 | Zero passes: 3345  <== HIT 0!
Turn: L46    | Dial:  0 -> 54 | Zero passes: 3345
Turn: L93    | Dial: 54 -> 61 | Zero passes: 3346
Turn: L14    | Dial: 61 -> 47 | Zero passes: 3346
Turn: L55    | Dial: 47 -> 92 | Zero passes: 3347
Turn: L5     | Dial: 92 -> 87 | Zero passes: 3347
Turn: R72    | Dial: 87 -> 59 | Zero passes: 3348
Turn: L327   | Dial: 59 -> 32 | Zero passes: 3351
Turn: L81    | Dial: 32 -> 51 | Zero passes: 3352
Turn: R70    | Dial: 51 -> 21 | Zero passes: 3353
Turn: L490   | Dial: 21 -> 31 | Zero passes: 3358
Turn: L83    | Dial: 31 -> 48 | Zero passes: 3359
Turn: R8     | Dial: 48 -> 56 | Zero passes: 3359
Turn: L99    | Dial: 56 -> 57 | Zero passes: 3360
Turn: L651   | Dial: 57 ->  6 | Zero passes: 3366
Turn: L30    | Dial:  6 -> 76 | Zero passes: 3367
Turn: L10    | Dial: 76 -> 66 | Zero passes: 3367
Turn: L66    | Dial: 66 ->  0 | Zero passes: 3368  <== HIT 0!
Turn: R50    | Dial:  0 -> 50 | Zero passes: 3368
Turn: L15    | Dial: 50 -> 35 | Zero passes: 3368
Turn: L14    | Dial: 35 -> 21 | Zero passes: 3368
Turn: L321   | Dial: 21 ->  0 | Zero passes: 3372  <== HIT 0!
Turn: R82    | Dial:  0 -> 82 | Zero passes: 3372
Turn: L82    | Dial: 82 ->  0 | Zero passes: 3373  <== HIT 0!
Turn: R42    | Dial:  0 -> 42 | Zero passes: 3373
Turn: L42    | Dial: 42 ->  0 | Zero passes: 3374  <== HIT 0!
Turn: L91    | Dial:  0 ->  9 | Zero passes: 3374
Turn: R749   | Dial:  9 -> 58 | Zero passes: 3381
Turn: L49    | Dial: 58 ->  9 | Zero passes: 3381
Turn: R191   | Dial:  9 ->  0 | Zero passes: 3383  <== HIT 0!
Turn: L92    | Dial:  0 ->  8 | Zero passes: 3383
Turn: L82    | Dial:  8 -> 26 | Zero passes: 3384
Turn: R82    | Dial: 26 ->  8 | Zero passes: 3385
Turn: R903   | Dial:  8 -> 11 | Zero passes: 3394
Turn: L165   | Dial: 11 -> 46 | Zero passes: 3396
Turn: R54    | Dial: 46 ->  0 | Zero passes: 3397  <== HIT 0!
Turn: R63    | Dial:  0 -> 63 | Zero passes: 3397
Turn: R37    | Dial: 63 ->  0 | Zero passes: 3398  <== HIT 0!
Turn: L20    | Dial:  0 -> 80 | Zero passes: 3398
Turn: L80    | Dial: 80 ->  0 | Zero passes: 3399  <== HIT 0!
Turn: R54    | Dial:  0 -> 54 | Zero passes: 3399
Turn: L54    | Dial: 54 ->  0 | Zero passes: 3400  <== HIT 0!
Turn: R898   | Dial:  0 -> 98 | Zero passes: 3408
Turn: L466   | Dial: 98 -> 32 | Zero passes: 3412
Turn: L61    | Dial: 32 -> 71 | Zero passes: 3413
Turn: L5     | Dial: 71 -> 66 | Zero passes: 3413
Turn: L94    | Dial: 66 -> 72 | Zero passes: 3414
Turn: R28    | Dial: 72 ->  0 | Zero passes: 3415  <== HIT 0!
Turn: R3     | Dial:  0 ->  3 | Zero passes: 3415
Turn: R97    | Dial:  3 ->  0 | Zero passes: 3416  <== HIT 0!
Turn: L34    | Dial:  0 -> 66 | Zero passes: 3416
Turn: L907   | Dial: 66 -> 59 | Zero passes: 3425
Turn: R34    | Dial: 59 -> 93 | Zero passes: 3425
Turn: L93    | Dial: 93 ->  0 | Zero passes: 3426  <== HIT 0!
Turn: L58    | Dial:  0 -> 42 | Zero passes: 3426
Turn: R7     | Dial: 42 -> 49 | Zero passes: 3426
Turn: R42    | Dial: 49 -> 91 | Zero passes: 3426
Turn: R78    | Dial: 91 -> 69 | Zero passes: 3427
Turn: L85    | Dial: 69 -> 84 | Zero passes: 3428
Turn: L11    | Dial: 84 -> 73 | Zero passes: 3428
Turn: L21    | Dial: 73 -> 52 | Zero passes: 3428
Turn: R553   | Dial: 52 ->  5 | Zero passes: 3434
Turn: L66    | Dial:  5 -> 39 | Zero passes: 3435
Turn: L39    | Dial: 39 ->  0 | Zero passes: 3436  <== HIT 0!
Turn: R98    | Dial:  0 -> 98 | Zero passes: 3436
Turn: R2     | Dial: 98 ->  0 | Zero passes: 3437  <== HIT 0!
Turn: R286   | Dial:  0 -> 86 | Zero passes: 3439
Turn: R14    | Dial: 86 ->  0 | Zero passes: 3440  <== HIT 0!
Turn: R856   | Dial:  0 -> 56 | Zero passes: 3448
Turn: R21    | Dial: 56 -> 77 | Zero passes: 3448
Turn: R81    | Dial: 77 -> 58 | Zero passes: 3449
Turn: L60    | Dial: 58 -> 98 | Zero passes: 3450
Turn: L99    | Dial: 98 -> 99 | Zero passes: 3451
Turn: L11    | Dial: 99 -> 88 | Zero passes: 3451
Turn: R12    | Dial: 88 ->  0 | Zero passes: 3452  <== HIT 0!
Turn: R26    | Dial:  0 -> 26 | Zero passes: 3452
Turn: R83    | Dial: 26 ->  9 | Zero passes: 3453
Turn: L92    | Dial:  9 -> 17 | Zero passes: 3454
Turn: R83    | Dial: 17 ->  0 | Zero passes: 3455  <== HIT 0!
Turn: L45    | Dial:  0 -> 55 | Zero passes: 3455
Turn: R28    | Dial: 55 -> 83 | Zero passes: 3455
Turn: R975   | Dial: 83 -> 58 | Zero passes: 3465
Turn: R63    | Dial: 58 -> 21 | Zero passes: 3466
Turn: R958   | Dial: 21 -> 79 | Zero passes: 3475
Turn: R21    | Dial: 79 ->  0 | Zero passes: 3476  <== HIT 0!
Turn: R4     | Dial:  0 ->  4 | Zero passes: 3476
Turn: L2     | Dial:  4 ->  2 | Zero passes: 3476
Turn: L33    | Dial:  2 -> 69 | Zero passes: 3477
Turn: R31    | Dial: 69 ->  0 | Zero passes: 3478  <== HIT 0!
Turn: L157   | Dial:  0 -> 43 | Zero passes: 3479
Turn: L143   | Dial: 43 ->  0 | Zero passes: 3481  <== HIT 0!
Turn: L8     | Dial:  0 -> 92 | Zero passes: 3481
Turn: L92    | Dial: 92 ->  0 | Zero passes: 3482  <== HIT 0!
Turn: L27    | Dial:  0 -> 73 | Zero passes: 3482
Turn: L7     | Dial: 73 -> 66 | Zero passes: 3482
Turn: L66    | Dial: 66 ->  0 | Zero passes: 3483  <== HIT 0!
Turn: R40    | Dial:  0 -> 40 | Zero passes: 3483
Turn: R40    | Dial: 40 -> 80 | Zero passes: 3483
Turn: L380   | Dial: 80 ->  0 | Zero passes: 3487  <== HIT 0!
Turn: L63    | Dial:  0 -> 37 | Zero passes: 3487
Turn: R35    | Dial: 37 -> 72 | Zero passes: 3487
Turn: L72    | Dial: 72 ->  0 | Zero passes: 3488  <== HIT 0!
Turn: R37    | Dial:  0 -> 37 | Zero passes: 3488
Turn: L681   | Dial: 37 -> 56 | Zero passes: 3495
Turn: R44    | Dial: 56 ->  0 | Zero passes: 3496  <== HIT 0!
Turn: L36    | Dial:  0 -> 64 | Zero passes: 3496
Turn: L26    | Dial: 64 -> 38 | Zero passes: 3496
Turn: L90    | Dial: 38 -> 48 | Zero passes: 3497
Turn: R206   | Dial: 48 -> 54 | Zero passes: 3499
Turn: R77    | Dial: 54 -> 31 | Zero passes: 3500
Turn: R14    | Dial: 31 -> 45 | Zero passes: 3500
Turn: R10    | Dial: 45 -> 55 | Zero passes: 3500
Turn: R45    | Dial: 55 ->  0 | Zero passes: 3501  <== HIT 0!
Turn: L76    | Dial:  0 -> 24 | Zero passes: 3501
Turn: L24    | Dial: 24 ->  0 | Zero passes: 3502  <== HIT 0!
Turn: L691   | Dial:  0 ->  9 | Zero passes: 3508
Turn: R67    | Dial:  9 -> 76 | Zero passes: 3508
Turn: R24    | Dial: 76 ->  0 | Zero passes: 3509  <== HIT 0!
Turn: L250   | Dial:  0 -> 50 | Zero passes: 3511
Turn: R79    | Dial: 50 -> 29 | Zero passes: 3512
Turn: L71    | Dial: 29 -> 58 | Zero passes: 3513
Turn: L99    | Dial: 58 -> 59 | Zero passes: 3514
Turn: L59    | Dial: 59 ->  0 | Zero passes: 3515  <== HIT 0!
Turn: L46    | Dial:  0 -> 54 | Zero passes: 3515
Turn: L29    | Dial: 54 -> 25 | Zero passes: 3515
Turn: R76    | Dial: 25 ->  1 | Zero passes: 3516
Turn: L931   | Dial:  1 -> 70 | Zero passes: 3526
Turn: L70    | Dial: 70 ->  0 | Zero passes: 3527  <== HIT 0!
Turn: L94    | Dial:  0 ->  6 | Zero passes: 3527
Turn: R30    | Dial:  6 -> 36 | Zero passes: 3527
Turn: L60    | Dial: 36 -> 76 | Zero passes: 3528
Turn: L13    | Dial: 76 -> 63 | Zero passes: 3528
Turn: L430   | Dial: 63 -> 33 | Zero passes: 3532
Turn: L98    | Dial: 33 -> 35 | Zero passes: 3533
Turn: L53    | Dial: 35 -> 82 | Zero passes: 3534
Turn: L68    | Dial: 82 -> 14 | Zero passes: 3534
Turn: R73    | Dial: 14 -> 87 | Zero passes: 3534
Turn: R13    | Dial: 87 ->  0 | Zero passes: 3535  <== HIT 0!
Turn: R789   | Dial:  0 -> 89 | Zero passes: 3542
Turn: R94    | Dial: 89 -> 83 | Zero passes: 3543
Turn: R17    | Dial: 83 ->  0 | Zero passes: 3544  <== HIT 0!
Turn: R870   | Dial:  0 -> 70 | Zero passes: 3552
Turn: L70    | Dial: 70 ->  0 | Zero passes: 3553  <== HIT 0!
Turn: R75    | Dial:  0 -> 75 | Zero passes: 3553
Turn: L75    | Dial: 75 ->  0 | Zero passes: 3554  <== HIT 0!
Turn: L30    | Dial:  0 -> 70 | Zero passes: 3554
Turn: L44    | Dial: 70 -> 26 | Zero passes: 3554
Turn: R74    | Dial: 26 ->  0 | Zero passes: 3555  <== HIT 0!
Turn: R6     | Dial:  0 ->  6 | Zero passes: 3555
Turn: L9     | Dial:  6 -> 97 | Zero passes: 3556
Turn: L98    | Dial: 97 -> 99 | Zero passes: 3557
Turn: L99    | Dial: 99 ->  0 | Zero passes: 3558  <== HIT 0!
Turn: L94    | Dial:  0 ->  6 | Zero passes: 3558
Turn: L6     | Dial:  6 ->  0 | Zero passes: 3559  <== HIT 0!
Turn: L409   | Dial:  0 -> 91 | Zero passes: 3563
Turn: L91    | Dial: 91 ->  0 | Zero passes: 3564  <== HIT 0!
Turn: R26    | Dial:  0 -> 26 | Zero passes: 3564
Turn: L82    | Dial: 26 -> 44 | Zero passes: 3565
Turn: R356   | Dial: 44 ->  0 | Zero passes: 3569  <== HIT 0!
Turn: L18    | Dial:  0 -> 82 | Zero passes: 3569
Turn: L1     | Dial: 82 -> 81 | Zero passes: 3569
Turn: L13    | Dial: 81 -> 68 | Zero passes: 3569
Turn: R486   | Dial: 68 -> 54 | Zero passes: 3574
Turn: R43    | Dial: 54 -> 97 | Zero passes: 3574
Turn: R83    | Dial: 97 -> 80 | Zero passes: 3575
Turn: R57    | Dial: 80 -> 37 | Zero passes: 3576
Turn: L16    | Dial: 37 -> 21 | Zero passes: 3576
Turn: R55    | Dial: 21 -> 76 | Zero passes: 3576
Turn: L37    | Dial: 76 -> 39 | Zero passes: 3576
Turn: R61    | Dial: 39 ->  0 | Zero passes: 3577  <== HIT 0!
Turn: R80    | Dial:  0 -> 80 | Zero passes: 3577
Turn: R10    | Dial: 80 -> 90 | Zero passes: 3577
Turn: R43    | Dial: 90 -> 33 | Zero passes: 3578
Turn: L63    | Dial: 33 -> 70 | Zero passes: 3579
Turn: R46    | Dial: 70 -> 16 | Zero passes: 3580
Turn: R84    | Dial: 16 ->  0 | Zero passes: 3581  <== HIT 0!
Turn: R2     | Dial:  0 ->  2 | Zero passes: 3581
Turn: R98    | Dial:  2 ->  0 | Zero passes: 3582  <== HIT 0!
Turn: R71    | Dial:  0 -> 71 | Zero passes: 3582
Turn: R214   | Dial: 71 -> 85 | Zero passes: 3584
Turn: L7     | Dial: 85 -> 78 | Zero passes: 3584
Turn: L96    | Dial: 78 -> 82 | Zero passes: 3585
Turn: R86    | Dial: 82 -> 68 | Zero passes: 3586
Turn: L68    | Dial: 68 ->  0 | Zero passes: 3587  <== HIT 0!
Turn: L97    | Dial:  0 ->  3 | Zero passes: 3587
Turn: R958   | Dial:  3 -> 61 | Zero passes: 3596
Turn: R77    | Dial: 61 -> 38 | Zero passes: 3597
Turn: R62    | Dial: 38 ->  0 | Zero passes: 3598  <== HIT 0!
Turn: R1     | Dial:  0 ->  1 | Zero passes: 3598
Turn: R520   | Dial:  1 -> 21 | Zero passes: 3603
Turn: R24    | Dial: 21 -> 45 | Zero passes: 3603
Turn: R75    | Dial: 45 -> 20 | Zero passes: 3604
Turn: R880   | Dial: 20 ->  0 | Zero passes: 3613  <== HIT 0!
Turn: L54    | Dial:  0 -> 46 | Zero passes: 3613
Turn: R70    | Dial: 46 -> 16 | Zero passes: 3614
Turn: L16    | Dial: 16 ->  0 | Zero passes: 3615  <== HIT 0!
Turn: L59    | Dial:  0 -> 41 | Zero passes: 3615
Turn: L70    | Dial: 41 -> 71 | Zero passes: 3616
Turn: R99    | Dial: 71 -> 70 | Zero passes: 3617
Turn: R30    | Dial: 70 ->  0 | Zero passes: 3618  <== HIT 0!
Turn: R48    | Dial:  0 -> 48 | Zero passes: 3618
Turn: L43    | Dial: 48 ->  5 | Zero passes: 3618
Turn: R679   | Dial:  5 -> 84 | Zero passes: 3624
Turn: R22    | Dial: 84 ->  6 | Zero passes: 3625
Turn: R14    | Dial:  6 -> 20 | Zero passes: 3625
Turn: L20    | Dial: 20 ->  0 | Zero passes: 3626  <== HIT 0!
Turn: L804   | Dial:  0 -> 96 | Zero passes: 3634
Turn: L96    | Dial: 96 ->  0 | Zero passes: 3635  <== HIT 0!
Turn: L587   | Dial:  0 -> 13 | Zero passes: 3640
Turn: R987   | Dial: 13 ->  0 | Zero passes: 3650  <== HIT 0!
Turn: R65    | Dial:  0 -> 65 | Zero passes: 3650
Turn: L365   | Dial: 65 ->  0 | Zero passes: 3654  <== HIT 0!
Turn: L84    | Dial:  0 -> 16 | Zero passes: 3654
Turn: R48    | Dial: 16 -> 64 | Zero passes: 3654
Turn: L55    | Dial: 64 ->  9 | Zero passes: 3654
Turn: L965   | Dial:  9 -> 44 | Zero passes: 3664
Turn: L1     | Dial: 44 -> 43 | Zero passes: 3664
Turn: L43    | Dial: 43 ->  0 | Zero passes: 3665  <== HIT 0!
Turn: R2     | Dial:  0 ->  2 | Zero passes: 3665
Turn: R98    | Dial:  2 ->  0 | Zero passes: 3666  <== HIT 0!
Turn: R13    | Dial:  0 -> 13 | Zero passes: 3666
Turn: R11    | Dial: 13 -> 24 | Zero passes: 3666
Turn: R87    | Dial: 24 -> 11 | Zero passes: 3667
Turn: L475   | Dial: 11 -> 36 | Zero passes: 3672
Turn: R47    | Dial: 36 -> 83 | Zero passes: 3672
Turn: R97    | Dial: 83 -> 80 | Zero passes: 3673
Turn: L97    | Dial: 80 -> 83 | Zero passes: 3674
Turn: R17    | Dial: 83 ->  0 | Zero passes: 3675  <== HIT 0!
Turn: R42    | Dial:  0 -> 42 | Zero passes: 3675
Turn: L25    | Dial: 42 -> 17 | Zero passes: 3675
Turn: R1     | Dial: 17 -> 18 | Zero passes: 3675
Turn: R627   | Dial: 18 -> 45 | Zero passes: 3681
Turn: R88    | Dial: 45 -> 33 | Zero passes: 3682
Turn: L77    | Dial: 33 -> 56 | Zero passes: 3683
Turn: L21    | Dial: 56 -> 35 | Zero passes: 3683
Turn: R47    | Dial: 35 -> 82 | Zero passes: 3683
Turn: L40    | Dial: 82 -> 42 | Zero passes: 3683
Turn: L16    | Dial: 42 -> 26 | Zero passes: 3683
Turn: R890   | Dial: 26 -> 16 | Zero passes: 3692
Turn: L25    | Dial: 16 -> 91 | Zero passes: 3693
Turn: R71    | Dial: 91 -> 62 | Zero passes: 3694
Turn: R65    | Dial: 62 -> 27 | Zero passes: 3695
Turn: R20    | Dial: 27 -> 47 | Zero passes: 3695
Turn: L347   | Dial: 47 ->  0 | Zero passes: 3699  <== HIT 0!
Turn: R99    | Dial:  0 -> 99 | Zero passes: 3699
Turn: R64    | Dial: 99 -> 63 | Zero passes: 3700
Turn: R37    | Dial: 63 ->  0 | Zero passes: 3701  <== HIT 0!
Turn: L69    | Dial:  0 -> 31 | Zero passes: 3701
Turn: L55    | Dial: 31 -> 76 | Zero passes: 3702
Turn: R24    | Dial: 76 ->  0 | Zero passes: 3703  <== HIT 0!
Turn: R99    | Dial:  0 -> 99 | Zero passes: 3703
Turn: R53    | Dial: 99 -> 52 | Zero passes: 3704
Turn: R79    | Dial: 52 -> 31 | Zero passes: 3705
Turn: R69    | Dial: 31 ->  0 | Zero passes: 3706  <== HIT 0!
Turn: L60    | Dial:  0 -> 40 | Zero passes: 3706
Turn: R89    | Dial: 40 -> 29 | Zero passes: 3707
Turn: R71    | Dial: 29 ->  0 | Zero passes: 3708  <== HIT 0!
Turn: R53    | Dial:  0 -> 53 | Zero passes: 3708
Turn: L56    | Dial: 53 -> 97 | Zero passes: 3709
Turn: L97    | Dial: 97 ->  0 | Zero passes: 3710  <== HIT 0!
Turn: L69    | Dial:  0 -> 31 | Zero passes: 3710
Turn: L48    | Dial: 31 -> 83 | Zero passes: 3711
Turn: L3     | Dial: 83 -> 80 | Zero passes: 3711
Turn: R34    | Dial: 80 -> 14 | Zero passes: 3712
Turn: R25    | Dial: 14 -> 39 | Zero passes: 3712
Turn: R541   | Dial: 39 -> 80 | Zero passes: 3717
Turn: R20    | Dial: 80 ->  0 | Zero passes: 3718  <== HIT 0!
Turn: R73    | Dial:  0 -> 73 | Zero passes: 3718
Turn: R27    | Dial: 73 ->  0 | Zero passes: 3719  <== HIT 0!
Turn: R75    | Dial:  0 -> 75 | Zero passes: 3719
Turn: R25    | Dial: 75 ->  0 | Zero passes: 3720  <== HIT 0!
Turn: L681   | Dial:  0 -> 19 | Zero passes: 3726
Turn: L19    | Dial: 19 ->  0 | Zero passes: 3727  <== HIT 0!
Turn: R244   | Dial:  0 -> 44 | Zero passes: 3729
Turn: L94    | Dial: 44 -> 50 | Zero passes: 3730
Turn: R80    | Dial: 50 -> 30 | Zero passes: 3731
Turn: R72    | Dial: 30 ->  2 | Zero passes: 3732
Turn: R7     | Dial:  2 ->  9 | Zero passes: 3732
Turn: L72    | Dial:  9 -> 37 | Zero passes: 3733
Turn: R70    | Dial: 37 ->  7 | Zero passes: 3734
Turn: L29    | Dial:  7 -> 78 | Zero passes: 3735
Turn: L20    | Dial: 78 -> 58 | Zero passes: 3735
Turn: R556   | Dial: 58 -> 14 | Zero passes: 3741
Turn: L370   | Dial: 14 -> 44 | Zero passes: 3745
Turn: R322   | Dial: 44 -> 66 | Zero passes: 3748
Turn: R34    | Dial: 66 ->  0 | Zero passes: 3749  <== HIT 0!
Turn: L37    | Dial:  0 -> 63 | Zero passes: 3749
Turn: L763   | Dial: 63 ->  0 | Zero passes: 3757  <== HIT 0!
Turn: R73    | Dial:  0 -> 73 | Zero passes: 3757
Turn: L71    | Dial: 73 ->  2 | Zero passes: 3757
Turn: L719   | Dial:  2 -> 83 | Zero passes: 3765
Turn: L83    | Dial: 83 ->  0 | Zero passes: 3766  <== HIT 0!
Turn: R30    | Dial:  0 -> 30 | Zero passes: 3766
Turn: L80    | Dial: 30 -> 50 | Zero passes: 3767
Turn: L150   | Dial: 50 ->  0 | Zero passes: 3769  <== HIT 0!
Turn: R85    | Dial:  0 -> 85 | Zero passes: 3769
Turn: L379   | Dial: 85 ->  6 | Zero passes: 3772
Turn: R94    | Dial:  6 ->  0 | Zero passes: 3773  <== HIT 0!
Turn: L36    | Dial:  0 -> 64 | Zero passes: 3773
Turn: R71    | Dial: 64 -> 35 | Zero passes: 3774
Turn: R65    | Dial: 35 ->  0 | Zero passes: 3775  <== HIT 0!
Turn: R17    | Dial:  0 -> 17 | Zero passes: 3775
Turn: L517   | Dial: 17 ->  0 | Zero passes: 3781  <== HIT 0!
Turn: R98    | Dial:  0 -> 98 | Zero passes: 3781
Turn: L91    | Dial: 98 ->  7 | Zero passes: 3781
Turn: L7     | Dial:  7 ->  0 | Zero passes: 3782  <== HIT 0!
Turn: L81    | Dial:  0 -> 19 | Zero passes: 3782
Turn: L19    | Dial: 19 ->  0 | Zero passes: 3783  <== HIT 0!
Turn: R343   | Dial:  0 -> 43 | Zero passes: 3786
Turn: L43    | Dial: 43 ->  0 | Zero passes: 3787  <== HIT 0!
Turn: R23    | Dial:  0 -> 23 | Zero passes: 3787
Turn: L20    | Dial: 23 ->  3 | Zero passes: 3787
Turn: L3     | Dial:  3 ->  0 | Zero passes: 3788  <== HIT 0!
Turn: R56    | Dial:  0 -> 56 | Zero passes: 3788
Turn: L1     | Dial: 56 -> 55 | Zero passes: 3788
Turn: L91    | Dial: 55 -> 64 | Zero passes: 3789
Turn: L964   | Dial: 64 ->  0 | Zero passes: 3799  <== HIT 0!
Turn: L66    | Dial:  0 -> 34 | Zero passes: 3799
Turn: L91    | Dial: 34 -> 43 | Zero passes: 3800
Turn: R857   | Dial: 43 ->  0 | Zero passes: 3809  <== HIT 0!
Turn: L17    | Dial:  0 -> 83 | Zero passes: 3809
Turn: R17    | Dial: 83 ->  0 | Zero passes: 3810  <== HIT 0!
Turn: L49    | Dial:  0 -> 51 | Zero passes: 3810
Turn: L51    | Dial: 51 ->  0 | Zero passes: 3811  <== HIT 0!
Turn: L13    | Dial:  0 -> 87 | Zero passes: 3811
Turn: R13    | Dial: 87 ->  0 | Zero passes: 3812  <== HIT 0!
Turn: L78    | Dial:  0 -> 22 | Zero passes: 3812
Turn: R878   | Dial: 22 ->  0 | Zero passes: 3821  <== HIT 0!
Turn: L38    | Dial:  0 -> 62 | Zero passes: 3821
Turn: L56    | Dial: 62 ->  6 | Zero passes: 3821
Turn: R11    | Dial:  6 -> 17 | Zero passes: 3821
Turn: L884   | Dial: 17 -> 33 | Zero passes: 3830
Turn: L323   | Dial: 33 -> 10 | Zero passes: 3833
Turn: R90    | Dial: 10 ->  0 | Zero passes: 3834  <== HIT 0!
Turn: L63    | Dial:  0 -> 37 | Zero passes: 3834
Turn: R63    | Dial: 37 ->  0 | Zero passes: 3835  <== HIT 0!
Turn: L37    | Dial:  0 -> 63 | Zero passes: 3835
Turn: L63    | Dial: 63 ->  0 | Zero passes: 3836  <== HIT 0!
Turn: R83    | Dial:  0 -> 83 | Zero passes: 3836
Turn: L3     | Dial: 83 -> 80 | Zero passes: 3836
Turn: L43    | Dial: 80 -> 37 | Zero passes: 3836
Turn: L769   | Dial: 37 -> 68 | Zero passes: 3844
Turn: L68    | Dial: 68 ->  0 | Zero passes: 3845  <== HIT 0!
Turn: R27    | Dial:  0 -> 27 | Zero passes: 3845
Turn: R83    | Dial: 27 -> 10 | Zero passes: 3846
Turn: R90    | Dial: 10 ->  0 | Zero passes: 3847  <== HIT 0!
Turn: R221   | Dial:  0 -> 21 | Zero passes: 3849
Turn: R94    | Dial: 21 -> 15 | Zero passes: 3850
Turn: L14    | Dial: 15 ->  1 | Zero passes: 3850
Turn: L1     | Dial:  1 ->  0 | Zero passes: 3851  <== HIT 0!
Turn: R82    | Dial:  0 -> 82 | Zero passes: 3851
Turn: L8     | Dial: 82 -> 74 | Zero passes: 3851
Turn: L86    | Dial: 74 -> 88 | Zero passes: 3852
Turn: R51    | Dial: 88 -> 39 | Zero passes: 3853
Turn: R861   | Dial: 39 ->  0 | Zero passes: 3862  <== HIT 0!
Turn: R1     | Dial:  0 ->  1 | Zero passes: 3862
Turn: L8     | Dial:  1 -> 93 | Zero passes: 3863
Turn: R77    | Dial: 93 -> 70 | Zero passes: 3864
Turn: L70    | Dial: 70 ->  0 | Zero passes: 3865  <== HIT 0!
Turn: L45    | Dial:  0 -> 55 | Zero passes: 3865
Turn: L655   | Dial: 55 ->  0 | Zero passes: 3872  <== HIT 0!
Turn: L21    | Dial:  0 -> 79 | Zero passes: 3872
Turn: R69    | Dial: 79 -> 48 | Zero passes: 3873
Turn: R61    | Dial: 48 ->  9 | Zero passes: 3874
Turn: R91    | Dial:  9 ->  0 | Zero passes: 3875  <== HIT 0!
Turn: R65    | Dial:  0 -> 65 | Zero passes: 3875
Turn: R95    | Dial: 65 -> 60 | Zero passes: 3876
Turn: R40    | Dial: 60 ->  0 | Zero passes: 3877  <== HIT 0!
Turn: R616   | Dial:  0 -> 16 | Zero passes: 3883
Turn: R84    | Dial: 16 ->  0 | Zero passes: 3884  <== HIT 0!
Turn: L93    | Dial:  0 ->  7 | Zero passes: 3884
Turn: L57    | Dial:  7 -> 50 | Zero passes: 3885
Turn: L28    | Dial: 50 -> 22 | Zero passes: 3885
Turn: L22    | Dial: 22 ->  0 | Zero passes: 3886  <== HIT 0!
Turn: L24    | Dial:  0 -> 76 | Zero passes: 3886
Turn: L47    | Dial: 76 -> 29 | Zero passes: 3886
Turn: L29    | Dial: 29 ->  0 | Zero passes: 3887  <== HIT 0!
Turn: R42    | Dial:  0 -> 42 | Zero passes: 3887
Turn: R98    | Dial: 42 -> 40 | Zero passes: 3888
Turn: L90    | Dial: 40 -> 50 | Zero passes: 3889
Turn: R48    | Dial: 50 -> 98 | Zero passes: 3889
Turn: L29    | Dial: 98 -> 69 | Zero passes: 3889
Turn: R31    | Dial: 69 ->  0 | Zero passes: 3890  <== HIT 0!
Turn: R30    | Dial:  0 -> 30 | Zero passes: 3890
Turn: R70    | Dial: 30 ->  0 | Zero passes: 3891  <== HIT 0!
Turn: R20    | Dial:  0 -> 20 | Zero passes: 3891
Turn: L718   | Dial: 20 ->  2 | Zero passes: 3898
Turn: R37    | Dial:  2 -> 39 | Zero passes: 3898
Turn: L439   | Dial: 39 ->  0 | Zero passes: 3903  <== HIT 0!
Turn: R23    | Dial:  0 -> 23 | Zero passes: 3903
Turn: R6     | Dial: 23 -> 29 | Zero passes: 3903
Turn: L129   | Dial: 29 ->  0 | Zero passes: 3905  <== HIT 0!
Turn: R52    | Dial:  0 -> 52 | Zero passes: 3905
Turn: L95    | Dial: 52 -> 57 | Zero passes: 3906
Turn: R12    | Dial: 57 -> 69 | Zero passes: 3906
Turn: R31    | Dial: 69 ->  0 | Zero passes: 3907  <== HIT 0!
Turn: L579   | Dial:  0 -> 21 | Zero passes: 3912
Turn: L6     | Dial: 21 -> 15 | Zero passes: 3912
Turn: R893   | Dial: 15 ->  8 | Zero passes: 3921
Turn: R45    | Dial:  8 -> 53 | Zero passes: 3921
Turn: R647   | Dial: 53 ->  0 | Zero passes: 3928  <== HIT 0!
Turn: L192   | Dial:  0 ->  8 | Zero passes: 3929
Turn: L8     | Dial:  8 ->  0 | Zero passes: 3930  <== HIT 0!
Turn: R439   | Dial:  0 -> 39 | Zero passes: 3934
Turn: L39    | Dial: 39 ->  0 | Zero passes: 3935  <== HIT 0!
Turn: R49    | Dial:  0 -> 49 | Zero passes: 3935
Turn: R612   | Dial: 49 -> 61 | Zero passes: 3941
Turn: L61    | Dial: 61 ->  0 | Zero passes: 3942  <== HIT 0!
